GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
OTOL1,12,18,27,6,0,15
KCNK4,288,270,281,28,67,386
TSHZ2,3754,2253,2541,1915,884,3479
CAPN12,65,76,22,80,50,38
EXOC7,14436,7821,7826,9742,8656,8716
KPNA2,4299,1869,1980,1426,1246,1686
WASH6P,893,395,375,1209,912,472
XKRX,46,17,20,63,4,34
BGN,8069,290,390,4690,1083,516
CEP97,3199,4764,5268,3631,3879,3813
LHFPL1,189,101,195,257,179,132
FES,1231,250,284,560,615,426
GLRX5,2113,874,885,1436,866,929
FAM104B,594,345,268,415,310,194
CAV3,25,23,30,9,44,11
MXRA7,8538,4097,4464,3192,3190,2933
LIMK2,4069,1329,1544,7908,3039,1657
MFSD5,2360,863,636,1277,868,918
ADI1,1007,674,1893,2685,929,1081
RWDD4,912,774,982,668,569,544
SPNS3,153,41,120,178,240,184
CLEC4G,455,81,265,6,44,159
SATB1,14574,11788,10102,4494,5082,8821
NXPH3,1566,3300,1809,3236,2060,2822
CSF1R,24159,5129,7129,16035,13850,7736
EPHB3,2513,874,731,1205,574,1134
SNORC,2482,391,687,3326,593,1094
HS3ST4,3153,4834,2252,910,1857,3239
TRAK1,12213,6495,6698,7865,4569,7636
TSPAN10,53,25,44,102,38,11
PLCB1,17045,13196,17016,2969,4139,14386
SKA2,1219,1597,1882,2177,1859,1869
RXFP3,156,96,26,14,6,40
NDN,5509,2754,3013,2220,2202,4152
NTM,8414,4558,5333,8859,3327,4772
TTC3,38456,29587,31079,12710,16980,25342
KCNB2,1590,1051,692,68,144,845
PPP1R27,17,13,39,31,38,24
BRICD5,620,534,516,885,818,748
GALR2,23,10,0,8,0,0
RESP18,126,27,41,7,0,34
IGIP,4077,4724,5761,3887,3926,4884
TSKU,1650,255,270,822,516,222
CMC4,339,158,158,230,331,192
ANXA2,4812,373,808,4298,823,339
RGS6,3105,1639,1862,2987,762,1763
HOXB4,20,0,0,0,0,0
SLC35D3,18,0,6,3,14,0
PAQR7,1787,742,896,1424,651,811
PAPPA,2863,731,621,954,477,427
MAFA,30,11,32,11,16,14
NGRN,30626,21771,21605,10495,14083,22839
GRID1,6821,2950,2559,5808,3785,3409
RPS17,5128,2739,2330,4950,3052,1927
HCAR2,75,4,39,2,12,4
OR2T29,20,30,1,0,0,3
CCDC87,144,39,96,102,52,184
C1orf116,34,9,24,27,50,42
CRIP2,7084,3636,3143,4083,2571,4382
DDX28,908,337,432,615,402,480
ACBD3,3970,3891,4841,3296,3220,3248
C16orf72,11509,6738,7337,6522,5173,7312
PLCXD3,3155,2464,3277,1695,938,2209
VMO1,139,41,25,44,34,35
ALG12,2170,836,743,1984,1405,934
LCK,109,10,0,150,94,11
GALNT9,7553,3542,2677,281,1142,5960
COL18A1,9884,1340,1713,4841,5875,2600
RBM10,5259,2417,2370,4024,2727,3287
ADGRG3,197,0,8,31,30,16
GLUD2,459,377,280,368,444,295
RPL35A,5546,2321,2529,4402,3058,2133
RGS7,4661,3776,2915,789,864,2648
SLC25A18,5469,3044,2368,6571,2707,3213
ZNF721,4723,3905,5317,3617,2389,3292
