GENE_ID,treat_1,treat_2,control_1,control_2
CCDC3,7408,2220,1014,2903
C4orf33,608,660,514,536
FRMD4A,15044,5991,8403,8838
PTPRO,6808,2996,660,1399
EPS8,4640,1993,4819,2914
ACAD8,3297,2304,2312,2037
THYN1,2232,1511,1463,815
VPS26B,12654,5964,5329,3946
NCAPD3,2415,1059,2008,1777
VTI1A,4814,2949,2158,2390
QDPR,7586,13857,15048,18158
FAM160B1,3884,3196,2220,1503
ANO4,2818,2632,3018,3861
TEX9,186,146,537,251
QTRT2,669,424,558,510
MMAA,1157,940,1008,653
ZNF827,5201,3210,3860,2644
EDNRA,1035,242,1068,505
NR3C2,3936,1800,4046,1349
AKR1C2,677,316,461,185
DPYSL4,5864,2620,1212,2112
VENTX,80,19,34,17
ADAM8,576,98,205,239
ITIH2,1851,110,2067,309
KIN,1317,1172,1116,1070
PIGF,758,775,732,561
ANKAR,907,607,1233,856
INPP1,1753,1581,1686,1760
MFSD6,6733,10649,3632,5322
RNF144A,5804,3549,5219,5889
ASAP2,5701,5302,5606,3213
